"t","x","y","z","Absolute"
7.244328750E-1,-1.118174744E-1,5.583389282E-2,9.835297394E0,9.836091469E0
7.344738750E-1,-1.131646729E-1,5.478607178E-2,9.846823425E0,9.847626076E0
7.445158750E-1,-1.094224548E-1,7.484436035E-2,9.845176849E0,9.846069376E0
7.545568750E-1,-1.043330383E-1,8.607101440E-2,9.836045837E0,9.836975720E0
7.645988750E-1,-1.029858398E-1,1.064286804E-1,9.836644592E0,9.837759398E0
7.746398750E-1,-9.355545044E-2,1.016386414E-1,9.829160156E0,9.830130844E0
7.846818750E-1,-1.098715210E-1,8.666976929E-2,9.830207977E0,9.831204010E0
7.947228750E-1,-1.103205872E-1,7.214996338E-2,9.836794281E0,9.837677469E0
8.047648750E-1,-1.086740112E-1,6.017486572E-2,9.839488678E0,9.840272786E0
8.148058750E-1,-1.163081360E-1,4.984634399E-2,9.839638367E0,9.840451993E0
8.248478750E-1,-1.242416382E-1,5.134323120E-2,9.833351440E0,9.834270317E0
8.348888750E-1,-1.190025330E-1,6.691085815E-2,9.830806732E0,9.831754659E0
8.449308750E-1,-1.237925720E-1,6.930587769E-2,9.843081207E0,9.844103593E0
8.549718750E-1,-1.128652954E-1,8.532257080E-2,9.831854553E0,9.832872544E0
8.650138750E-1,-1.017883301E-1,9.580078125E-2,9.840835876E0,9.841828560E0
8.750548750E-1,-1.076261902E-1,9.669891357E-2,9.836345215E0,9.837409276E0
8.850968750E-1,-1.160087585E-1,8.891510010E-2,9.840536499E0,9.841621945E0
8.951378750E-1,-1.187031555E-1,7.933502197E-2,9.834399261E0,9.835435594E0
9.051798750E-1,-1.225950623E-1,7.050338745E-2,9.838590546E0,9.839606913E0
9.152208750E-1,-1.185534668E-1,6.062393188E-2,9.834099884E0,9.835001307E0
9.252628750E-1,-1.166075134E-1,5.882766724E-2,9.832004242E0,9.832871677E0
9.353038750E-1,-1.133143616E-1,5.777984619E-2,9.843530273E0,9.844352030E0
9.453458750E-1,-1.014889526E-1,6.571334839E-2,9.836943970E0,9.837686970E0
9.553868750E-1,-1.019380188E-1,7.993377686E-2,9.833351440E0,9.834204661E0
9.654288750E-1,-8.741821289E-2,8.637039185E-2,9.848619690E0,9.849386356E0
9.754698750E-1,-9.729766846E-2,9.400451660E-2,9.844578094E0,9.845507683E0
9.855118750E-1,-9.849517822E-2,8.966354370E-2,9.835746460E0,9.836648274E0
9.955528750E-1,-1.034349060E-1,8.876541138E-2,9.832453308E0,9.833397995E0
1.005594875E0,-1.032852173E-1,7.409591675E-2,9.843530273E0,9.844350983E0
1.015635875E0,-1.118174744E-1,6.361770630E-2,9.835746460E0,9.836587761E0
1.025677875E0,-1.091230774E-1,6.301895142E-2,9.841135254E0,9.841941999E0
1.035718875E0,-1.083746338E-1,6.256988525E-2,9.838590546E0,9.839386362E0
1.045760875E0,-1.038839722E-1,5.987548828E-2,9.829160156E0,9.829891471E0
1.055801875E0,-1.104702759E-1,6.556365967E-2,9.832004242E0,9.832843418E0
1.065843875E0,-1.028361511E-1,7.229965210E-2,9.839189301E0,9.839992307E0
1.075884875E0,-1.035845947E-1,8.382568359E-2,9.841883698E0,9.842785745E0
1.085926875E0,-1.125659180E-1,9.235794067E-2,9.832303619E0,9.833381694E0
1.095967875E0,-1.207987976E-1,8.322692871E-2,9.834548950E0,9.835642944E0
1.106009875E0,-1.216969299E-1,7.649093628E-2,9.839338989E0,9.840388852E0
1.116050875E0,-1.263372803E-1,7.349716187E-2,9.840835876E0,9.841921240E0
1.126092875E0,-1.170565796E-1,7.394622803E-2,9.837243347E0,9.838217672E0
1.136133875E0,-1.127156067E-1,7.274871826E-2,9.839638367E0,9.840552849E0
1.146175875E0,-9.415420532E-2,7.903564453E-2,9.835297394E0,9.836065599E0
1.156216875E0,-9.909393311E-2,7.634124756E-2,9.837991791E0,9.838787022E0
1.166258875E0,-9.624984741E-2,7.289840698E-2,9.836494904E0,9.837235902E0
1.176299875E0,-9.969268799E-2,7.499404907E-2,9.838291168E0,9.839082063E0
1.186341875E0,-9.505233765E-2,7.708969116E-2,9.830357666E0,9.831119448E0
1.196382875E0,-1.094224548E-1,7.050338745E-2,9.835896149E0,9.836757446E0
1.206424875E0,-1.160087585E-1,7.005432129E-2,9.842033386E0,9.842966363E0
1.216465875E0,-1.234931946E-1,7.948471069E-2,9.840835876E0,9.841931677E0
1.226507875E0,-1.143621826E-1,7.604187012E-2,9.846074982E0,9.847032732E0
1.236548875E0,-1.128652954E-1,7.229965210E-2,9.837393036E0,9.838306133E0
1.246590875E0,-1.228944397E-1,7.619155884E-2,9.841584320E0,9.842646500E0
1.256631875E0,-1.218466187E-1,7.185058594E-2,9.829758911E0,9.830776641E0
1.266673875E0,-1.178050232E-1,6.855743408E-2,9.834099884E0,9.835044416E0
1.276714875E0,-1.103205872E-1,7.364685059E-2,9.827064514E0,9.827959679E0
1.286755875E0,-1.104702759E-1,7.604187012E-2,9.834099884E0,9.835014315E0
1.296797875E0,-1.076261902E-1,7.095245361E-2,9.826914825E0,9.827760306E0
1.306838875E0,-1.025367737E-1,8.053253174E-2,9.831405487E0,9.832269989E0
1.316880875E0,-1.022373962E-1,7.559280396E-2,9.831854553E0,9.832676681E0
1.326921875E0,-9.924362183E-2,7.185058594E-2,9.834998016E0,9.835761170E0
1.336963875E0,-9.939331055E-2,8.472381592E-2,9.836345215E0,9.837212224E0
1.347004875E0,-1.055305481E-1,7.768844604E-2,9.831106110E0,9.831979431E0
1.357046875E0,-1.013392639E-1,7.484436035E-2,9.837842102E0,9.838648716E0
1.367087875E0,-1.085243225E-1,7.619155884E-2,9.837842102E0,9.838735686E0
1.377129875E0,-1.116677856E-1,6.735992432E-2,9.838740234E0,9.839604487E0
1.387170875E0,-1.110690308E-1,6.825805664E-2,9.834698639E0,9.835562659E0
1.397212875E0,-1.082249451E-1,7.694000244E-2,9.834548950E0,9.835445361E0
1.407253875E0,-1.140628052E-1,7.439529419E-2,9.827513580E0,9.828457059E0
1.417295875E0,-1.083746338E-1,7.589218140E-2,9.841734009E0,9.842623278E0
1.427336875E0,-1.194515991E-1,7.529342651E-2,9.834548950E0,9.835562558E0
1.437378875E0,-1.166075134E-1,7.679031372E-2,9.835746460E0,9.836737390E0
1.447419875E0,-1.082249451E-1,7.634124756E-2,9.830657043E0,9.831549142E0
1.457461875E0,-1.145118713E-1,7.858657837E-2,9.833351440E0,9.834332177E0
1.467502875E0,-1.019380188E-1,7.364685059E-2,9.836943970E0,9.837747805E0
1.477544875E0,-1.065783691E-1,7.664062500E-2,9.837243347E0,9.838119201E0
1.487585875E0,-9.639953613E-2,7.170089722E-2,9.837842102E0,9.838575665E0
1.497627875E0,-9.190887451E-2,7.020401001E-2,9.838590546E0,9.839270286E0
1.507668875E0,-1.061293030E-1,7.589218140E-2,9.833052063E0,9.833917629E0
1.517710875E0,-1.094224548E-1,7.304809570E-2,9.834099884E0,9.834979910E0
1.527751875E0,-1.098715210E-1,8.068222046E-2,9.839189301E0,9.840133508E0
1.537793875E0,-1.077758789E-1,7.125183105E-2,9.837991791E0,9.838840122E0
1.547834875E0,-1.279838562E-1,6.945556641E-2,9.837393036E0,9.838470699E0
1.557876875E0,-1.290316772E-1,7.649093628E-2,9.832453308E0,9.833597414E0
1.567917875E0,-1.193019104E-1,8.083190918E-2,9.830207977E0,9.831264192E0
1.577959875E0,-1.128652954E-1,7.694000244E-2,9.843230896E0,9.844178626E0
1.588000875E0,-1.101708984E-1,7.933502197E-2,9.840237122E0,9.841173623E0
1.598042875E0,-1.139131165E-1,7.439529419E-2,9.835447083E0,9.836388065E0
