time,angularVelocity_x,angularVelocity_y,angularVelocity_z
1702105727657,0.008678141,-0.003121563,0.00950723
1702105727668,0.003441119,-0.003701794,-0.002457666
1702105727682,0.001278928,-0.005430236,-0.005324832
1702105727703,-0.005986521,0.0002364087,-0.005619809
1702105727721,-0.008172975,-0.0004853815,5.655785e-05
1702105727741,0.0001875732,-0.007708454,-0.01026489
1702105727758,0.0003902809,-0.001761899,-0.01282948
1702105727774,0.001355575,-0.003361312,-0.005838262
1702105727791,0.001363358,-0.001827261,0.000378304
1702105727808,-0.002923062,-0.002982921,-0.0004324979
1702105727824,-0.002935707,-0.005533791,-0.01079664
1702105727841,-0.008217113,-0.006126851,-0.01834502
1702105727857,-0.00300346,-0.009640359,-0.01858412
1702105727871,0.006635316,-0.006839145,-0.01488265
1702105727886,0.0131644,-0.002376412,-0.01818748
1702105727901,0.01639788,-0.001422048,-0.01841173
1702105727916,0.006978187,0.004776469,-0.016655
1702105727931,-0.004657271,0.008451479,-0.01206462
1702105727945,-0.01210274,0.009172464,-0.01004108
1702105727960,-0.01629407,0.01161655,-0.009546115
1702105727974,-0.01194142,0.01203973,-0.02064764
1702105727988,-0.002342886,0.01307044,-0.01978876
1702105728002,0.00724502,0.01538696,-0.01373931
1702105728016,0.01146323,0.01425529,-0.01343775
1702105728030,0.01473606,0.01651458,-0.01728505
1702105728045,0.0104015,0.01453461,-0.01240695
1702105728058,0.01041028,0.014017,-0.01448541
1702105728072,0.001815771,0.01163895,-0.01173529
1702105728086,-0.005768454,0.00690884,-0.009500924
1702105728100,-0.007945501,0.006952748,-0.005124771
1702105728114,-0.006874899,0.006665486,-0.006148988
1702105728128,-0.005810899,0.008698517,-0.002245132
1702105728142,-0.005891202,0.00765453,0.002411025
1702105728156,-0.01008314,0.01162652,0.004705308
1702105728171,-0.0143409,0.00992988,0.001796185
1702105728184,-0.01744108,0.0149031,0.003846408
1702105728200,-0.01440951,0.0083667,0.004376499
1702105728213,-0.006843509,0.007970998,-0.005359569
1702105728227,-0.00586376,0.004842812,-0.004586436
1702105728241,-0.005874068,0.003301629,-0.006408193
1702105728255,-0.009007045,0.005445266,-0.006961713
1702105728268,-0.01536757,0.006885176,-0.006267142
1702105728283,-0.01435968,0.006583631,-0.002886135
1702105728296,-0.01433284,0.009409453,-0.000276049
1702105728310,-0.01751734,0.01128366,0.002542193
1702105728324,-0.01963974,0.01286627,0.004331256
1702105728338,-0.01962135,0.01415387,0.00511488
1702105728352,-0.0227979,0.01551531,0.005861457
1702105728365,-0.02911618,0.01595584,0.002405449
1702105728379,-0.03241166,0.01521834,0.008037285
1702105728394,-0.03136217,0.01034388,0.001512557
1702105728407,-0.03014513,0.01193,-0.005434124
1702105728421,-0.0281036,0.01056546,-0.001791444
1702105728436,-0.027081,0.01457544,0.006052989
1702105728449,-0.02721562,0.0157322,0.01566929
1702105728462,-0.03142306,0.01664575,0.01430195
1702105728476,-0.03786331,0.01143715,0.00995619
1702105728490,-0.04319987,0.005508889,0.002508347
1702105728504,-0.04222193,0.0005956217,0.0003456539
1702105728518,-0.038016,-0.005083136,-0.004859993
1702105728532,-0.03075476,-0.01000609,-0.001450768
1702105728545,-0.0266267,-0.0127328,0.00141721
1702105728559,-0.02028051,-0.01372539,0.00281045
1702105728573,-0.01285072,-0.01542622,0.001094161
1702105728588,-0.01165463,-0.009796111,0.0020276
1702105728602,-0.01290638,-0.01251352,0.009198941
1702105728617,-0.02026417,-0.0124493,0.003624951
1702105728629,-0.0265455,-0.01091042,-5.947919e-05
1702105728642,-0.02432729,-0.01132237,-0.006513829
1702105728656,-0.01814799,-0.01401841,0.001808687
1702105728670,-0.01181079,-0.01672774,0.0002851926
1702105728685,-0.008721483,-0.02466599,-0.005582138
