,time,position_y,position_pro_y
2946,2023-10-24 11:01:57.309999872,0.18341904545454568,1
2947,2023-10-24 11:01:57.324000000,0.18612221969697007,1
2948,2023-10-24 11:01:57.338000128,0.18909793939393982,1
2949,2023-10-24 11:01:57.351000064,0.192129674242425,1
2950,2023-10-24 11:01:57.365999872,0.1950873863636362,1
2951,2023-10-24 11:01:57.379000064,0.19806540909090842,1
2952,2023-10-24 11:01:57.394000128,0.20100409848484802,1
2953,2023-10-24 11:01:57.407000064,0.20380965151515085,1
2954,2023-10-24 11:01:57.420999936,0.2064324848484853,1
2955,2023-10-24 11:01:57.434000128,0.20888687121212168,1
2956,2023-10-24 11:01:57.448999936,0.21117404545454566,1
2957,2023-10-24 11:01:57.461999872,0.21315049242424244,1
2958,2023-10-24 11:01:57.476000000,0.21488286363636266,1
2959,2023-10-24 11:01:57.491000064,0.2163265530303029,1
2960,2023-10-24 11:01:57.504000000,0.21749546969696976,1
2961,2023-10-24 11:01:57.517999872,0.2183514621212117,1
2962,2023-10-24 11:01:57.532000000,0.2187160530303025,1
2963,2023-10-24 11:01:57.546000128,0.21875052272727213,1
2964,2023-10-24 11:01:57.560000000,0.21857191666666775,1
2965,2023-10-24 11:01:57.573999872,0.21811425757575797,1
2966,2023-10-24 11:01:57.588000000,0.2174177803030295,1
2967,2023-10-24 11:01:57.601999872,0.21643681818181815,1
2968,2023-10-24 11:01:57.615000064,0.21515800000000063,1
2969,2023-10-24 11:01:57.628999936,0.21351211363636402,1
2970,2023-10-24 11:01:57.642999808,0.21162327272727222,1
2971,2023-10-24 11:01:57.657000192,0.20943175000000025,1
2972,2023-10-24 11:01:57.671000064,0.20694412121212213,1
2973,2023-10-24 11:01:57.684999936,0.20426122727272755,1
2974,2023-10-24 11:01:57.698999808,0.20147855303030315,1
2975,2023-10-24 11:01:57.712999936,0.1985176969696969,1
2976,2023-10-24 11:01:57.727000064,0.1954196212121211,1
2977,2023-10-24 11:01:57.740000000,0.19212988636363626,1
2978,2023-10-24 11:01:57.755000064,0.1887191969696973,1
2979,2023-10-24 11:01:57.768000000,0.1851825378787879,1
2980,2023-10-24 11:01:57.782000128,0.18157968181818074,1
2981,2023-10-24 11:01:57.796000000,0.1779473106060605,1
2982,2023-10-24 11:01:57.809999872,0.1742247121212115,1
2983,2023-10-24 11:01:57.824000000,0.170369916666667,1
2984,2023-10-24 11:01:57.838000128,0.16647080303030304,1
2985,2023-10-24 11:01:57.851000064,0.16253615151515088,1
2986,2023-10-24 11:01:57.864999936,0.15860990909090855,1
2987,2023-10-24 11:01:57.879000064,0.15464765909090872,1
2988,2023-10-24 11:01:57.892999936,0.15066753787878806,1
2989,2023-10-24 11:01:57.907000064,0.14672813636363635,1
2990,2023-10-24 11:01:57.921999872,0.14274911363636367,1
2991,2023-10-24 11:01:57.935000064,0.13887248484848502,1
2992,2023-10-24 11:01:57.948999936,0.13510200757575763,1
2993,2023-10-24 11:01:57.963000064,0.1313802348484856,1
2994,2023-10-24 11:01:57.976999936,0.12791187878787902,1
2995,2023-10-24 11:01:57.996999936,0.12460423484848437,1
2996,2023-10-24 11:01:58.004000000,0.12155369696969665,1
2997,2023-10-24 11:01:58.016999936,0.11910412878787913,1
2998,2023-10-24 11:01:58.030999808,0.11740584090909056,1
2999,2023-10-24 11:01:58.045000192,0.1156810454545445,1
3000,2023-10-24 11:01:58.059000064,0.11402350000000006,1
3001,2023-10-24 11:01:58.072999936,0.11285186363636335,1
3002,2023-10-24 11:01:58.086999808,0.11209817424242363,1
3003,2023-10-24 11:01:58.101000192,0.11194391666666714,1
3004,2023-10-24 11:01:58.115000064,0.11224296969697001,1
3005,2023-10-24 11:01:58.128999936,0.11254614393939377,1
3006,2023-10-24 11:01:58.142999808,0.11268721969697015,1
3007,2023-10-24 11:01:58.157000192,0.11281246212121143,1
3008,2023-10-24 11:01:58.171000064,0.11290415151515187,1
3009,2023-10-24 11:01:58.184000000,0.1129667575757578,1
3010,2023-10-24 11:01:58.197999872,0.11294158333333382,1
3011,2023-10-24 11:01:58.212000000,0.11287265151515236,1
3012,2023-10-24 11:01:58.227000064,0.11273310606060605,1
3013,2023-10-24 11:01:58.240999936,0.11245980303030212,1
3014,2023-10-24 11:01:58.255000064,0.11203553030303048,1
3015,2023-10-24 11:01:58.268000000,0.11126439393939425,1
3016,2023-10-24 11:01:58.282000128,0.11022190151515154,1
3017,2023-10-24 11:01:58.296000000,0.10888802272727283,1
3018,2023-10-24 11:01:58.309999872,0.10734150000000042,1
3019,2023-10-24 11:01:58.324000000,0.1057625757575753,1
3020,2023-10-24 11:01:58.336999936,0.10408620454545492,1
3021,2023-10-24 11:01:58.351000064,0.10228572727272756,1
3022,2023-10-24 11:01:58.364999936,0.10069046969696949,1
3023,2023-10-24 11:01:58.379000064,0.098835628787878,1
3024,2023-10-24 11:01:58.392999936,0.09645123484848472,1
3025,2023-10-24 11:01:58.407000064,0.09392614393939436,1
3026,2023-10-24 11:01:58.420999936,0.09132353787878777,1
3027,2023-10-24 11:01:58.434000128,0.08875061363636405,1
3028,2023-10-24 11:01:58.448999936,0.0859652727272735,1
3029,2023-10-24 11:01:58.464000000,0.08300282575757656,1
3030,2023-10-24 11:01:58.476000000,0.07997624242424184,1
3031,2023-10-24 11:01:58.491000064,0.07685473484848515,1
3032,2023-10-24 11:01:58.504000000,0.07376212878787847,1
3033,2023-10-24 11:01:58.517999872,0.07061143939393855,1
3034,2023-10-24 11:01:58.532000000,0.06747616666666634,1
3035,2023-10-24 11:01:58.546999808,0.06427513636363624,1
3036,2023-10-24 11:01:58.559000064,0.061256340909092266,1
3037,2023-10-24 11:01:58.572999936,0.05842025000000017,1
3038,2023-10-24 11:01:58.588000000,0.055721318181817914,1
3039,2023-10-24 11:01:58.601000192,0.05304485606060538,1
3040,2023-10-24 11:01:58.616000000,0.050344757575757626,1
3384,2023-10-24 11:02:03.392000000,0.05322877272727222,1
3385,2023-10-24 11:02:03.407000064,0.058857901515151134,1
3386,2023-10-24 11:02:03.420999936,0.06431656818181786,1
3387,2023-10-24 11:02:03.434000128,0.06963144696969703,1
