time,acceleration_x,acceleration_y,acceleration_z
1698750504624,-0.03208081,-0.03676127,-0.004488076
1698750504633,-0.06093039,-0.045554766,0.024544454
1698750504643,-0.08874209,-0.0548676149999999,0.055128694
1698750504661,-0.11399854,-0.066869125,0.086425514
1698750504679,-0.13788915,-0.080081175,0.116758004
1698750504697,-0.1614881199999999,-0.090925325,0.148384784
1698750504714,-0.1847004,-0.097885059,0.182536394
1698750504731,-0.20768477,-0.1028082219999999,0.218962444
1698750504748,-0.23014494,-0.108100169,0.256719324
1698750504765,-0.25166368,-0.113934836,0.294821794
1698750504782,-0.27308921,-0.118441042,0.333360394
1698750504799,-0.29508237,-0.1198394649999999,0.371690534
1698750504814,-0.31761046,-0.1191131212999999,0.408401094
1698750504831,-0.34037808,-0.1167751782999999,0.441413524
1698750504845,-0.36295946,-0.1126782872999999,0.469401644
1698750504860,-0.38549029,-0.1050365252999999,0.492436094
1698750504875,-0.40809116,-0.0915891453,0.511201384
1698750504889,-0.43012917,-0.0731686652999999,0.525917504
1698750504904,-0.4505638,-0.0510532452999999,0.5358768930000001
1698750504919,-0.46918912,-0.0264972352999999,0.541546657
1698750504933,-0.4858989,0.0004213947,0.544170402
1698750504947,-0.50042758,0.0291646547,0.545412172
1698750504961,-0.51282197,0.0577447947,0.544193742
1698750504975,-0.52405085,0.0827715547,0.538934753
1698750504990,-0.5341757199999999,0.1009802847,0.527735293
1698750505004,-0.5435595059999999,0.1122779247,0.510190793
1698750505017,-0.552861643,0.1185006557,0.487353763
1698750505032,-0.562997773,0.1215093837,0.460075183
1698750505046,-0.574696643,0.1229344587,0.428528003
1698750505060,-0.587624293,0.1225993586,0.392051923
1698750505074,-0.601288073,0.1201331726,0.349533383
1698750505088,-0.6151341029999999,0.1139805416,0.299727503
1698750505101,-0.6287711029999999,0.1043066916,0.242261833
1698750505115,-0.6417130529999999,0.0941912016,0.177353013
1698750505129,-0.6540168729999999,0.0868057855999999,0.107166133
1698750505144,-0.6664936229999999,0.0853777185999999,0.033244613
1698750505158,-0.679803403,0.0904007625999999,-0.0435602369999999
1698750505172,-0.6941959529999999,0.0996339095999999,-0.1246323669999999
1698750505182,-0.7087316029999999,0.1094675525999999,-0.2104726069999999
1698750505196,-0.722273603,0.1190963016,-0.3038991469999999
1698750505210,-0.734004873,0.1292921615999999,-0.4033420569999999
1698750505225,-0.744525453,0.1432397616,-0.5060990569999999
1698750505238,-0.753589997,0.1625290415999999,-0.6097568569999999
1698750505252,-0.7612967989999999,0.1872100916,-0.7127186569999999
1698750505266,-0.7673095179999999,0.2151033115999999,-0.8144979569999999
1698750505280,-0.771244509,0.2427888016,-0.916643657
1698750505293,-0.772532286,0.2671490916,-1.020045857
1698750505307,-0.770627702,0.2871196616,-1.125141457
1698750505321,-0.766171364,0.3036146716,-1.231470957
1698750505335,-0.759578505,0.3186090216,-1.337323857
1698750505349,-0.751528924,0.3336921716,-1.440974957
1698750505363,-0.742245802,0.3491759616,-1.5410103569999998
1698750505377,-0.731703872,0.3642384916,-1.6373881969999995
1698750505391,-0.720039162,0.3771268216,-1.7301453469999997
1698750505405,-0.7068953419999999,0.3874725016,-1.819870697
1698750505419,-0.6930647419999999,0.3960311306,-1.906123957
1698750505432,-0.6788232419999999,0.4047815136,-1.987958457
1698750505446,-0.6642865619999999,0.4161092936,-2.064533737
1698750505461,-0.6497365219999999,0.4303349736,-2.135961227
1698750505474,-0.6350327119999999,0.4469652036000001,-2.2021490269999995
1698750505488,-0.6200157419999999,0.4647823836,-2.263071097
1698750505502,-0.6045023419999999,0.4827663536000001,-2.318817597
1698750505516,-0.5879371519999999,0.5000121736,-2.369590557
1698750505530,-0.5706121319999998,0.5166811236000001,-2.415449997
1698750505543,-0.5530147319999998,0.5331915336,-2.456409347
1698750505557,-0.5350010919999998,0.5494760536000001,-2.492555357
1698750505571,-0.5169607719999998,0.5659597336000001,-2.523879077
1698750505585,-0.4989542419999997,0.5825954336000001,-2.550477747
1698750505599,-0.4815288319999998,0.5998445236000001,-2.572573217
1698750505613,-0.4643030919999998,0.6169409536000001,-2.590369667
1698750505626,-0.4477296519999998,0.6338698536000001,-2.603849867
1698750505640,-0.4317956419999998,0.6500999336000002,-2.6132615070000003
1698750505654,-0.4169717719999998,0.6657845036000002,-2.618686416
1698750505668,-0.4027628819999998,0.6812403336000001,-2.619718712
1698750505682,-0.3897588919999998,0.6956578536000001,-2.617334167
1698750505696,-0.3780748319999998,0.7069753936000001,-2.614481919
1698750505709,-0.3683024899999998,0.7137612046,-2.6135515627
1698750505723,-0.3605232619999998,0.7151439106,-2.6167000937
1698750505737,-0.3547093529999998,0.7135803316,-2.6237969657
1698750505751,-0.3506997699999998,0.7130259251,-2.6330963047
1698750505765,-0.3477856769999998,0.7164533751,-2.6426196197
1698750505779,-0.3451064739999998,0.7257043140999999,-2.6508305117
1698750505793,-0.3424144849999997,0.7407804640999999,-2.6574229447
1698750505807,-0.3398746299999998,0.7595195440999999,-2.6630641587
1698750505820,-0.3379746389999998,0.7789676140999999,-2.6689669837000003
1698750505834,-0.3366318929999998,0.7976893440999999,-2.6756640587
1698750505849,-0.3354717879999997,0.8159521540999999,-2.6833289137
1698750505863,-0.3345433166999997,0.8325341840999999,-2.6919683987
1698750505876,-0.3344685617699998,0.8472633140999999,-2.7017375427
1698750505890,-0.3349820185699997,0.8606443940999999,-2.7120280227
1698750505904,-0.3360647315699998,0.8734351540999999,-2.7225033526999995
1698750505918,-0.3377521995699998,0.8864176740999999,-2.7327966627
1698750505932,-0.3399838125699998,0.8999548541,-2.7430264126999995
1698750505946,-0.3429312005699998,0.9135382541,-2.7531819727
1698750505959,-0.3464581595699998,0.9268136541,-2.7631980227
1698750505973,-0.3501874055699998,0.9397524341,-2.772908352699999
1698750505987,-0.3540024285699998,0.9526003641,-2.7817726276999992
1698750506001,-0.3577703675699998,0.9654067741,-2.7892733276999992
1698750506015,-0.3614478605699998,0.9784679441,-2.7948345087
1698750506029,-0.3647505425699998,0.9915860541,-2.7985187477
1698750506043,-0.3675972915699997,1.0037937841,-2.800518142699999
1698750506057,-0.3702601245699997,1.0151050941,-2.800954697899999
1698750506071,-0.3725206355699997,1.0245587771,-2.799959669999999
1698750506085,-0.3744492275699997,1.0322408321,-2.797796911999999
1698750506099,-0.3759445215699997,1.0382317991,-2.794528296999999
1698750506112,-0.3771920785699997,1.0432816021,-2.790077329999999
1698750506126,-0.3783117635699997,1.0480280001,-2.784485177999999
1698750506140,-0.3792965144699997,1.0527444251,-2.778006503999999
1698750506154,-0.3801719437699997,1.0572929871,-2.770971994999999
1698750506168,-0.3806430451699997,1.0616525441,-2.763741965999999
1698750506182,-0.3810974372699997,1.0654790691,-2.756714020999999
1698750506196,-0.3817445865699997,1.0690690631,-2.74990096
1698750506210,-0.3828947725699997,1.0721859540999998,-2.7433476689999994
1698750506223,-0.3842637065699997,1.0749895820999995,-2.736998397
1698750506238,-0.3860008145699997,1.0779855740999995,-2.7308377149999994
1698750506251,-0.3877300225699996,1.0817401780999998,-2.724776825
1698750506265,-0.3895697075699996,1.0866395490999998,-2.7188687119999995
