time,x,y,z
1697768874,0,0,0
1697768875,0.004325429,1.547757,-0.3918324
1697768875,0.005493291,1.547423,-0.3905533
1697768875,0.006205972,1.547011,-0.3900277
1697768875,0.00628051,1.546871,-0.3898841
1697768875,0.006335631,1.546916,-0.3898612
1697768875,0.006262114,1.546984,-0.3898854
1697768875,0.006160613,1.547032,-0.3898237
1697768875,0.005983369,1.547128,-0.3897342
1697768875,0.005775329,1.547245,-0.3897034
1697768875,0.005485484,1.547273,-0.3896218
1697768875,0.005218849,1.547248,-0.3895556
1697768875,0.005036011,1.547352,-0.389381
1697768876,0.00482383,1.547367,-0.3892621
1697768876,0.004458254,1.547309,-0.389074
1697768876,0.004429115,1.547222,-0.3890183
1697768876,0.004432909,1.54716,-0.3889866
1697768876,0.004102116,1.547061,-0.3887513
1697768876,0.003802836,1.546973,-0.3885684
1697768876,0.003600968,1.546951,-0.3883851
1697768876,0.003456157,1.54695,-0.3882285
1697768876,0.003292162,1.547028,-0.3880392
1697768876,0.003207779,1.547123,-0.3878967
1697768876,0.00311703,1.547089,-0.3877782
1697768876,0.003023425,1.54706,-0.3876571
1697768876,0.00287525,1.547109,-0.3874568
1697768876,0.002814792,1.547112,-0.3874044
1697768876,0.002746496,1.547061,-0.3873929
1697768876,0.002686229,1.546942,-0.3873355
1697768876,0.002783995,1.546853,-0.3872429
1697768876,0.002932122,1.54687,-0.3871238
1697768876,0.002912071,1.546861,-0.3870523
1697768876,0.002793757,1.546861,-0.3869363
1697768876,0.002755417,1.5469,-0.3868454
1697768876,0.002775988,1.546958,-0.3867444
1697768876,0.002754251,1.546978,-0.3866453
1697768876,0.002714543,1.546955,-0.3865586
1697768876,0.002693709,1.546898,-0.3864891
1697768876,0.002672913,1.546847,-0.3863921
1697768876,0.002623912,1.546774,-0.3863877
1697768876,0.002595698,1.5467,-0.3863192
1697768876,0.002606917,1.546665,-0.3862912
1697768876,0.002631184,1.54661,-0.3862752
1697768876,0.00266305,1.546574,-0.3862599
1697768876,0.002687424,1.54653,-0.3862627
1697768876,0.002711883,1.546489,-0.3862432
1697768876,0.002729822,1.546433,-0.3862434
1697768876,0.002747279,1.546407,-0.386223
1697768876,0.002778489,1.546387,-0.3861948
1697768876,0.0028117,1.54637,-0.386178
1697768876,0.002844302,1.546338,-0.3861586
