t,p
80.01372109,993.694458
80.03879482,993.6547852
80.06387624,993.6303711
80.08894476,993.6303101
80.11401414,993.6364136
80.13907579,993.6272583
80.16416278,993.6394653
80.1892145,993.6668701
80.21429438,993.6455688
80.23936416,993.5875854
80.26443366,993.5692749
80.28950528,993.5845337
80.3145607,993.5692749
80.33963329,993.5662231
80.36470405,993.6119995
80.38978246,993.6455688
80.41485176,993.6364136
80.43991031,993.6333618
80.46498673,993.6364136
80.49005252,993.6242065
80.51513142,993.5967407
80.54019946,993.6455688
80.56526952,993.7645874
80.59033939,993.8469849
80.61539615,993.8164673
80.64046911,993.7279663
80.66553466,993.694397
80.6905935,993.7249146
80.71567944,993.7767944
80.74074849,993.795105
80.76582357,993.7462769
80.79087418,993.6638794
80.81594421,993.6547241
80.84100549,993.694397
80.8660933,993.706604
80.89116248,993.7157593
80.91623059,993.730957
80.94129615,993.706604
80.96636145,993.6638794
80.99144255,993.6608276
81.01651095,993.6882324
81.04157919,993.6882324
81.06665084,993.6547241
81.09172604,993.6333618
81.11677495,993.6516724
81.14186618,993.6791382
81.16691069,993.6638794
81.1919889,993.6272583
81.21705563,993.6028442
81.24213543,993.6211548
81.26717624,993.6425171
81.2922514,993.6913452
81.31733204,993.7706909
81.34238966,993.8256226
81.36746941,993.7859497
81.39252756,993.7218628
81.41760597,993.7127075
81.44266119,993.7340698
81.4677276,993.7462769
81.49280527,993.7340698
81.51787355,993.706604
81.54292612,993.6699829
81.56799733,993.6638794
81.59306423,993.6730347
81.61814569,993.6760864
81.64320083,993.7035522
81.66827968,993.7218628
81.69334768,993.6882324
81.71840652,993.6547241
81.74348432,993.6699829
81.76854202,993.694397
81.79362018,993.6730347
81.81869086,993.6394653
81.84376113,993.6364136
81.86881757,993.6730347
81.89390408,993.6913452
81.91895856,993.6730347
81.94402668,993.6394653
81.96909931,993.6394653
81.9941741,993.6486816
82.019232,993.6364746
82.0442991,993.6334229
82.06936864,993.6761475
82.09443021,993.7402344
82.1195157,993.770752
82.14458487,993.7493896
82.16964603,993.7219238
