time,acceleration_x,acceleration_y,acceleration_z
1703230277757,-0.01285957,0.03206445,0.01742808
1703230277769,-0.03212954,0.05222257,0.04107963
1703230277783,-0.05273356,0.06861636,0.06289502
1703230277803,-0.07706871,0.08072843,0.08251878
1703230277821,-0.1057416499999999,0.090381136,0.10230477
1703230277841,-0.1375509899999999,0.095780789,0.12291659
1703230277857,-0.1707413699999999,0.097430564,0.14400299
1703230277874,-0.2053684099999999,0.0973100986,0.1646548099999999
1703230277891,-0.2409472199999999,0.0987146606,0.18480343
1703230277908,-0.27560353,0.1036799616,0.20499651
1703230277925,-0.30707605,0.1107476196,0.22431085
1703230277941,-0.33429017,0.1188836846,0.24256165
1703230277956,-0.35746275,0.1282185976,0.26075849
1703230277972,-0.37622996,0.1428748076,0.28025302
1703230277986,-0.3908428499999999,0.1649629876,0.30273602
1703230278001,-0.4018542499999999,0.1936778576,0.32832633
1703230278016,-0.409178014,0.2261176076,0.35522233
1703230278031,-0.41334484,0.2591406576,0.3816176999999999
1703230278044,-0.415013856,0.2900362476,0.4062639499999999
1703230278059,-0.4144117685,0.3167213176,0.4290661299999999
1703230278074,-0.4118990895,0.3376622476,0.4507476599999999
1703230278087,-0.4078974715,0.3517738476,0.4721448499999999
1703230278102,-0.4031314975,0.3587156086,0.4933808399999999
1703230278116,-0.3976128295,0.3575483576,0.5140901699999999
1703230278130,-0.3909316164999999,0.3469694976,0.5338172299999999
1703230278144,-0.3834484554999999,0.3280006276,0.5525907099999999
1703230278157,-0.3754444034999999,0.3024756376,0.5712501499999999
1703230278172,-0.3673039655,0.2724378876,0.5914164099999999
1703230278186,-0.3579564405,0.2394036676,0.6141972099999999
1703230278200,-0.3470099505,0.2062690976,0.6388820199999999
1703230278215,-0.3335575404999999,0.1769465676,0.66552916
1703230278228,-0.3177317305,0.1532857576,0.6941746
1703230278242,-0.3001840604999999,0.1352438376,0.72406439
1703230278256,-0.2810200504999999,0.1208608076,0.75389982
1703230278271,-0.2600378404999999,0.1085431976,0.78226452
1703230278284,-0.2379767804999999,0.0982585876,0.8087046800000001
1703230278291,-0.2155736504999999,0.0887847896,0.8346118
1703230278306,-0.1921590104999999,0.0800489096,0.85936987
1703230278318,-0.1678642504999999,0.0725764646,0.88261658
1703230278333,-0.1424865604999999,0.0671878186,0.90514651
1703230278347,-0.1157756304999999,0.0649567296,0.928274
1703230278361,-0.0873525004999999,0.0664978326,0.95252385
1703230278374,-0.0573820304999999,0.0709770426,0.97721504
1703230278388,-0.0270036204999999,0.0766580356,1.00191203
1703230278402,0.0041308395,0.0812423196,1.02593043
1703230278416,0.0375388895,0.0851807286,1.04881043
1703230278430,0.0746126895,0.0880000306,1.07118313
