time,rotate_x,rotate_y,rotate_z,angularVelocity_x,angularVelocity_y,angularVelocity_z,velocity_x,velocity_y,velocity_z,position_x,position_y,position_z
2023-10-20 07:15:37.825999872,-0.07772595,-0.05149661,-0.00843953,0.03178827,0.0009260323,0.003220603,0.002222897,0.003735588,-0.003825279,0.2894703,1.516871,-0.04067878
2023-10-20 07:15:37.840000000,-0.07794899,-0.05154647,-0.008558801,0.03424676,0.0004658427,0.0001139566,0.002475587,0.00422952,-0.004159029,0.2895105,1.516926,-0.04073859
2023-10-20 07:15:37.854000128,-0.07827868,-0.0515004,-0.00845653,0.03744263,-0.001651644,3.264345e-05,0.002653605,0.004183597,-0.004643411,0.2895525,1.516953,-0.0408163
2023-10-20 07:15:37.868999936,-0.07846246,-0.05131916,-0.008958814,0.03444193,-0.003294833,0.008140797,0.003044684,0.003929992,-0.005072489,0.2896179,1.517027,-0.04090104
2023-10-20 07:15:37.881999872,-0.07824469,-0.05085216,-0.009569954,0.02678791,-0.00675461,0.01976075,0.003147497,0.003658388,-0.005738688,0.2896659,1.517107,-0.04099136
2023-10-20 07:15:37.896000000,-0.0780932,-0.05090383,-0.009365951,0.01619932,-0.005577459,0.018874,0.003451435,0.004200236,-0.006098175,0.2897406,1.517202,-0.04107463
2023-10-20 07:15:37.910000128,-0.07854459,-0.05097291,-0.009485497,0.02340488,-0.00192647,0.01160271,0.003605624,0.004382268,-0.006621244,0.2898082,1.5173,-0.04117644
2023-10-20 07:15:37.924000000,-0.07877914,-0.05098223,-0.009066545,0.02410405,-0.004866977,0.004538645,0.00321818,0.004571641,-0.007268339,0.2898336,1.517352,-0.04130524
2023-10-20 07:15:37.937999872,-0.07895552,-0.05107384,-0.008825032,0.02602202,-0.001154499,-0.003282472,0.003282721,0.004216606,-0.008032196,0.289885,1.517375,-0.04146495
2023-10-20 07:15:37.952000000,-0.07907603,-0.05127645,-0.008861836,0.02411842,0.0003195103,-0.005373807,0.003346332,0.003965588,-0.008651986,0.2899362,1.517416,-0.04163125
2023-10-20 07:15:37.966000128,-0.07932841,-0.05113588,-0.008859967,0.02340902,-0.001159222,-0.009020132,0.002832808,0.00384978,-0.009200663,0.2899345,1.517449,-0.04175876
2023-10-20 07:15:37.980999936,-0.07948662,-0.05161826,-0.008549207,0.0234413,0.007421481,-0.008434133,0.002757531,0.003554298,-0.009451114,0.289961,1.517443,-0.04190993
2023-10-20 07:15:37.994999808,-0.07966597,-0.05184214,-0.0088042,0.02305171,0.01307973,-0.004094669,0.002395678,0.003114203,-0.009901972,0.2899733,1.517472,-0.04208166
2023-10-20 07:15:38.008999936,-0.07969525,-0.05216689,-0.008645248,0.02264739,0.01876062,0.0002484502,0.002222047,0.002505739,-0.01016265,0.2899976,1.517461,-0.04225734
2023-10-20 07:15:38.022000128,-0.07960831,-0.05257574,-0.009210847,0.01602376,0.02572189,0.003084645,0.002129033,0.001914031,-0.01053942,0.2900316,1.517488,-0.04244744
2023-10-20 07:15:38.036999936,-0.07953548,-0.05274303,-0.009110541,0.01445344,0.03016166,0.008153436,0.002050099,0.001277432,-0.01063273,0.2900679,1.517458,-0.04259648
2023-10-20 07:15:38.049999872,-0.07942887,-0.05303856,-0.009195511,0.008210621,0.03147741,0.006648018,0.001848605,0.001307207,-0.01035031,0.2900958,1.517475,-0.04272855
2023-10-20 07:15:38.064000000,-0.07963133,-0.05337129,-0.009093664,0.01615273,0.03449704,0.002627467,0.00179619,0.001478649,-0.01005779,0.2901211,1.517495,-0.04287269
2023-10-20 07:15:38.078000128,-0.07992177,-0.05337085,-0.009142092,0.01698509,0.034084,0.004806187,0.001680188,0.001822965,-0.0096951,0.2901396,1.517542,-0.04298642
2023-10-20 07:15:38.092000000,-0.07999093,-0.05384809,-0.009554544,0.01489864,0.03332672,0.01428481,0.001598072,0.00172217,-0.009315264,0.2901565,1.517585,-0.0431242
2023-10-20 07:15:38.105999872,-0.079799,-0.05393102,-0.009749084,0.009408364,0.03088748,0.01540891,0.001719549,0.00144222,-0.009010785,0.2901807,1.517601,-0.0432355
2023-10-20 07:15:38.120000000,-0.07965814,-0.05388999,-0.009645692,0.004262822,0.02801223,0.0131973,0.001784951,0.001208727,-0.008717461,0.2902052,1.517599,-0.04333534
2023-10-20 07:15:38.132999936,-0.07989998,-0.05427223,-0.009508451,0.001773584,0.02925951,0.006585977,0.001698311,0.001165923,-0.008495958,0.2902265,1.517602,-0.04346424
2023-10-20 07:15:38.148000000,-0.07992066,-0.05454016,-0.009524275,0.001085763,0.02778107,0.002943202,0.001397387,0.001583197,-0.008063006,0.2902304,1.517648,-0.04356935
2023-10-20 07:15:38.160999936,-0.08002695,-0.05475041,-0.009497679,0.005783789,0.0285319,-0.0007653218,0.001391905,0.00208146,-0.007641248,0.2902349,1.517675,-0.04369558
2023-10-20 07:15:38.175000064,-0.08046114,-0.05497521,-0.009614475,0.01435505,0.02967585,-0.0006913932,0.001418043,0.002443544,-0.007266662,0.2902417,1.51771,-0.0438188
2023-10-20 07:15:38.188999936,-0.08051148,-0.05511321,-0.009512888,0.01881373,0.03002833,-0.002304649,0.001279688,0.002831161,-0.006754064,0.290245,1.517751,-0.04390582
2023-10-20 07:15:38.203000064,-0.08081049,-0.05527264,-0.00953392,0.02146809,0.03338135,0.002998224,0.001516569,0.002783459,-0.006265284,0.2902786,1.517786,-0.04397678
2023-10-20 07:15:38.216999936,-0.08114888,-0.0555579,-0.009640274,0.0250345,0.03079567,-0.0003744923,0.001396715,0.002887342,-0.005863375,0.2902909,1.517836,-0.04405577
2023-10-20 07:15:38.231000064,-0.08145025,-0.05554896,-0.009448826,0.02904377,0.02722415,0.001573088,0.00139327,0.002674503,-0.005477245,0.2903131,1.517832,-0.04407395
2023-10-20 07:15:38.244000000,-0.08184039,-0.05562573,-0.009854682,0.03364219,0.02491356,0.00821277,0.001506825,0.002538513,-0.00515318,0.2903461,1.517869,-0.04409578
2023-10-20 07:15:38.259000064,-0.08183567,-0.05572717,-0.009892797,0.03071896,0.020423,0.01469185,0.001712281,0.003025332,-0.004893293,0.2903831,1.517936,-0.04414345
2023-10-20 07:15:38.272000000,-0.08194324,-0.05567467,-0.01016779,0.03158665,0.01581569,0.01610763,0.00202717,0.003086529,-0.004725769,0.2904289,1.518002,-0.04419783
